Id2,Geography,Total_Male,Male_LHS,Male_HS,Male_College,Male_Bachelors,Male_Graduate,Total_Female,Female_LHS,Female_HS,Female_College,Female_Bachelors,Female_Graduate
36005026300,"Census Tract 263, Bronx County, New York",27138,35560,42870,17288,-,-,20740,11618,21170,21782,40057,-
36005026400,"Census Tract 264, Bronx County, New York",52511,28929,46477,53061,51646,106106,37303,-,-,26583,45250,71538
36005026500,"Census Tract 265, Bronx County, New York",21159,16406,25679,17331,26920,-,16812,17354,16395,15115,18484,-
36005026601,"Census Tract 266.01, Bronx County, New York",51229,51964,50305,50971,52008,100764,32598,-,30380,24531,47692,59000
36005026602,"Census Tract 266.02, Bronx County, New York",47204,-,45128,66563,63750,59032,44609,20469,-,50270,54297,57500
36005026701,"Census Tract 267.01, Bronx County, New York",32056,-,30484,26188,55833,-,16719,10662,20202,15679,-,-
36005026702,"Census Tract 267.02, Bronx County, New York",38967,21925,24563,51685,81806,47121,26523,16691,22750,26313,68971,-
36005026900,"Census Tract 269, Bronx County, New York",29450,-,22976,30625,-,37500,27581,20720,17000,33347,43553,54402
36005027300,"Census Tract 273, Bronx County, New York",26904,25179,26983,25363,26845,57614,25276,8737,18413,27368,46429,-
36005027401,"Census Tract 274.01, Bronx County, New York",74966,-,85130,73750,94375,-,49853,41591,-,47941,71250,84259
36005027402,"Census Tract 274.02, Bronx County, New York",48750,-,34972,45906,45956,71908,51518,-,33264,41653,72857,56983
36005027600,"Census Tract 276, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005027700,"Census Tract 277, Bronx County, New York",26226,26015,22273,63523,-,-,20189,14656,-,25185,46583,48594
36005027900,"Census Tract 279, Bronx County, New York",39906,25680,32198,-,84196,62857,33546,18604,-,36400,36250,52667
36005028100,"Census Tract 281, Bronx County, New York",50485,-,50229,48259,62635,73906,40521,26813,41094,37768,37604,44813
36005028300,"Census Tract 283, Bronx County, New York",22500,15741,20099,-,58378,-,26860,10202,19474,45729,36797,60294
36005028400,"Census Tract 284, Bronx County, New York",25846,26029,13438,30938,-,-,-,-,-,-,-,-
36005028500,"Census Tract 285, Bronx County, New York",48021,21863,33824,46250,60694,83750,38105,-,-,30625,25486,61667
36005028600,"Census Tract 286, Bronx County, New York",40476,19896,-,40536,59464,91458,53839,-,-,36979,61146,76500
36005028700,"Census Tract 287, Bronx County, New York",48661,-,41250,-,67625,67438,37402,-,12083,-,52714,86219
36005028800,"Census Tract 288, Bronx County, New York",60650,-,36557,60829,85594,101188,46362,-,21090,47057,-,55795
36005028900,"Census Tract 289, Bronx County, New York",31314,22113,-,30865,50119,44492,26829,20156,13963,27667,-,73700
36005029301,"Census Tract 293.01, Bronx County, New York",103229,-,-,-,81000,113359,82958,-,-,-,85588,86053
36005029302,"Census Tract 293.02, Bronx County, New York",86233,-,61667,56053,91012,107279,53882,-,12636,41436,63203,57109
36005029500,"Census Tract 295, Bronx County, New York",46121,61125,-,35241,61354,75833,53405,56369,31272,50909,53153,82232
36005029600,"Census Tract 296, Bronx County, New York",42245,-,41850,50083,31500,45568,36563,-,-,33214,31786,41250
36005029700,"Census Tract 297, Bronx County, New York",62303,-,60938,-,50061,69077,65147,-,47019,-,52917,76167
36005030000,"Census Tract 300, Bronx County, New York",65608,-,-,70549,62946,107500,44104,33829,36758,24297,80864,66859
36005030100,"Census Tract 301, Bronx County, New York",46579,-,35714,31569,81250,91818,84000,-,-,88125,82750,85000
36005030200,"Census Tract 302, Bronx County, New York",42055,32880,41492,38633,50925,82153,48423,35017,32365,48518,55977,51634
36005030701,"Census Tract 307.01, Bronx County, New York",80795,-,-,46250,71694,151823,73990,-,-,73304,57910,79309
36005030900,"Census Tract 309, Bronx County, New York",98393,27218,-,76618,93375,105000,61875,-,45515,48750,69474,66250
36005031000,"Census Tract 310, Bronx County, New York",58032,-,60462,56944,75188,52026,40656,13750,26667,40500,51927,92929
36005031200,"Census Tract 312, Bronx County, New York",58333,70417,61250,40093,72361,52083,44948,16103,40000,37625,55625,61833
36005031400,"Census Tract 314, Bronx County, New York",50000,36667,50417,47863,77813,93500,37917,12143,17308,45125,47614,61313
36005031600,"Census Tract 316, Bronx County, New York",32350,35673,41250,23958,36750,41667,51181,24000,35268,-,71050,83750
36005031800,"Census Tract 318, Bronx County, New York",48375,35833,48500,45469,74412,77500,42344,26250,-,40781,45167,67083
36005031900,"Census Tract 319, Bronx County, New York",-,-,-,-,-,-,-,-,-,-,-,-
36005032300,"Census Tract 323, Bronx County, New York",54514,-,19432,41968,99406,79620,80662,-,-,70431,69460,83776
36005032400,"Census Tract 324, Bronx County, New York",26573,40281,17177,-,-,-,27235,-,-,-,-,47667
36005032600,"Census Tract 326, Bronx County, New York",45625,32000,26250,51790,-,80699,47770,34271,29231,45034,54659,78194
36005032800,"Census Tract 328, Bronx County, New York",26824,25236,30511,-,66447,31310,31705,-,35114,34695,-,-
36005033000,"Census Tract 330, Bronx County, New York",26028,16060,26176,23991,41958,80108,22656,-,26563,19444,-,-
36005033201,"Census Tract 332.01, Bronx County, New York",33034,20855,28077,38500,62566,78125,37135,8300,-,19709,49531,65223
36005033202,"Census Tract 332.02, Bronx County, New York",36159,24306,31691,40542,36250,-,35511,20978,31163,45441,50326,62426
36005033400,"Census Tract 334, Bronx County, New York",41250,17619,32188,58750,57337,-,-,-,44500,20380,41705,-
36005033500,"Census Tract 335, Bronx County, New York",77054,-,-,43203,86429,150313,60625,-,30000,15885,61397,106667
36005033600,"Census Tract 336, Bronx County, New York",38292,-,41958,30025,100234,-,31172,16298,-,36439,49294,-
36005033700,"Census Tract 337, Bronx County, New York",75143,-,40469,64643,80000,78750,53295,6250,52045,50536,80125,64531
